hanzi,jyutping,pinyin,meaning,example_phrase,example_pinyin
汗,hon6,sweat,sweat,出汗,ceot1 hon6
淚,lei6,tears,tears,流泪,lau4 lei6
痕,han4,itch,itchy,痕癢,han4 joeng5
癢,joeng5,itch,itch,痕癢,han4 joeng5
凍瘡,dung6 coeng1,chilblains,chilblains,生凍瘡,sāng1 dung6 coeng1
凍傷,dung6 soeng1,frostbite,frostbite,凍伤手指,dung6 soeng1 seus2 ci2
發燒,faat3 siu1,fever,fever,發燒38度,faat3 siu1 saam1 baat6 dou6
感冒,gon2 mou2,cold,cold (illness),著凉感冒,zoek3 loeng4 gon2 mou2
咳嗽,hau1 sau3,cough,cough,咳咳,hau1 sau3 hau1 sau3
鼻塞,bai4 saap6,nasal congestion,nose blocked,鼻塞呼吸,bai4 saap6 hau1 sik6
牙痛,ngaa4 tung4,toothache,toothache,牙痛嘅,ngaa4 tung4 ge3
喉嚨痛,hau4 lʊŋ4 tung4,throat pain,throat pain,喉嚨痛咗,hau4 lʊŋ4 tung4 zo2
胃痛,gwai3 tung4,stomach ache,stomach pain,胃痛好耐,gwai3 tung4 hou2 naai6
頭痛,tau4 tung4,headache,headache,頭痛埋,tau4 tung4 maai4
背痛,bak3 tung4,back pain,back pain,背痛好耐,bak3 tung4 hou2 naai6
腳腫,gok3 zung2,swollen foot,swollen foot,腳腫咗,gok3 zung2 zo2
眼瞓,jyun5 fan2,tired eyes,tired eyes,眼瞓埋,jyun5 fan2 maai4
肚脹,dou6 zoeng3,bloating,bloating,肚脹好耐,dou6 zoeng3 hou2 naai6
流汗,lau4 hon6,sweating,sweating,流汗埋,lau4 hon6 maai4
流淚,lau4 lei6,tears flowing,tears flowing,流淚埋,lau4 lei6 maai4
口渴,kut3 ho2,thirsty,thirsty,口渴好耐,kut3 ho2 hou2 naai6
肚餓,dou6 o3,hungry stomach,hungry,肚餓好耐,dou6 o3 hou2 naai6
肚企,dou6 keoi2,hungry stomach (colloquial),hungry,肚企好耐,dou6 keoi2 hou2 naai6
失眠,sat3 min4,insomnia,insomnia,失眠好耐,mat6 min4 hou2 naai6
瞓不著,fin6 bat1 zoek3,cannot sleep,cannot sleep,瞓不著好耐,fin6 bat1 zoek3 hou2 naai6
瞓得著,fin6 dak1 zoek3,can sleep,can sleep,瞓得著好耐,fin6 dak1 zoek3 hou2 naai6
睡不好,seoi3 bwt hou2,poor sleep,poor sleep,睡不好好耐,seoi3 bwt hou2 hou2 naai6
瞓唔夠,fin6 m4 kau3,not enough sleep,not enough sleep,瞓唔夠好耐,fin6 m4 kau3 hou2 naai6
瞓夠,fin6 kau3,enough sleep,enough sleep,瞓夠好耐,fin6 kau3 hou2 naai6
瞓身,fin6 san1,lie down,lie down,瞓身好耐,fin6 san1 hou2 naai6
瞓起,fin6 hei2,get up,get up,瞓起好耐,fin6 hei2 hou2 naai6
瞓低,fin6 dai1,lie down,lie down,瞓低好耐,fin6 dai1 hou2 naai6
瞓到,fin6 dou6,fell asleep,fell asleep,瞓到好耐,fin6 dou6 hou2 naai6
瞓住,fin6 zyu6,sleeping,sleeping,瞓住好耐,fin6 zyu6 hou2 naai6
瞓咗,fin6 zo2,slept,slept,瞓咗好耐,fin6 zo2 hou2 naai6
瞓緊,fin6 gan2,was sleeping,was sleeping,瞓緊好耐,fin6 gan2 hou2 naai6
瞓未,fin6 mei6,haven't slept yet,haven't slept yet,瞓未好耐,fin6 mei6 hou2 naai6
瞓晒,fin6 syu3,finished sleeping,finished sleeping,瞓晒好耐,fin6 syu3 hou2 naai6
瞓咗喇,fin6 zo2 laa3,already slept,already slept,瞓咗喇好耐,fin6 zo2 laa3 hou2 naai6
瞓咗好耐,fin6 zo2 hou2 naai6,slept a long time,slept a long time,瞓咗好耐好耐,fin6 zo2 hou2 naai6 hou2 naai6
瞓咗半日,fin6 zo2 bui3 jat6,slept half day,slept half day,瞓咗半日好耐,fin6 zo2 bui3 jat6 hou2 naai6
瞓咗三個鐘,fin6 zo1 saam3 go3 zung1,slept three hours,slept three hours,瞓咗三個鐘好耐,fin6 zo1 saam3 go3 zung1 hou2 naai6
瞓咗兩個鐘,fin6 zo1 lui5 go3 zung1,slept two hours,slept two hours,瞓咗兩個鐘好耐,fin6 zo1 lui5 go3 zung1 hou2 naai6
瞓咗一個鐘,fin6 zo1 jat1 go3 zung1,slept one hour,slept one hour,瞓咗一個鐘好耐,fin6 zo1 jat1 go3 zung1 hou2 naai6
瞓咗五個鐘,fin6 zo1 ng5 go3 zung1,slept five hours,slept five hours,瞓咗五個鐘好耐,fin6 zo1 ng5 go3 zung1 hou2 naai6
瞓咗六個鐘,fin6 zo1 lok6 go3 zung1,slept six hours,slept six hours,瞓咗六個鐘好耐,fin6 zo1 lok6 go3 zung1 hou2 naai6
瞓咗七個鐘,fin6 zo1 cat1 go3 zung1,slept seven hours,slept seven hours,瞓咗七個鐘好耐,fin6 zo1 cat1 go3 zung1 hou2 naai6
瞓咗八個鐘,fin6 zo1 baat3 go3 zung1,slept eight hours,slept eight hours,瞓咗八個鐘好耐,fin6 zo1 baat3 go3 zung1 hou2 naai6
瞓咗九個鐘,fin6 zo1 gau3 go3 zung1,slept nine hours,slept nine hours,瞓咗九個鐘好耐,fin6 zo1 gau3 go3 zung1 hou2 naai6
瞓咗十個鐘,fin6 zo1 sap6 go3 zung1,slept ten hours,slept ten hours,瞓咗十個鐘好耐,fin6 zo1 sap6 go3 zung1 hou2 naai6
瞓咗十二個鐘,fin6 zo1 sap3 ji6 go3 zung1,slept twelve hours,slept twelve hours,瞓咗十二個鐘好耐,fin6 zo1 sap3 ji6 go3 zung1 hou2 naai6
瞓咗十八個鐘,fin6 zo1 sap3 baat3 go3 zung1,slept eighteen hours,slept eighteen hours,瞓咗十八個鐘好耐,fin6 zo1 sap3 baat3 go3 zung1 hou2 naai6
瞓咗二十個鐘,fin6 zo1 ji6 sap6 go3 zung1,slept twenty hours,slept twenty hours,瞓咗二十個鐘好耐,fin6 zo1 ji6 sap6 go3 zung1 hou2 naai6
瞓咗三十個鐘,fin6 zo1 saam1 sap6 go3 zung1,slept thirty hours,slept thirty hours,瞓咗三十個鐘好耐,fin6 zo1 saam1 sap6 go3 zung1 hou2 naai6
瞓咗四十個鐘,fin6 zo1 sei3 sap6 go3 zung1,slept forty hours,slept forty hours,瞓咗四十個鐘好耐,fin6 zo1 sei3 sap6 go3 zung1 hou2 naai6
瞓咗五十個鐘,fin6 zo1 ng5 sap6 go3 zung1,slept fifty hours,slept fifty hours,瞓咗五十個鐘好耐,fin6 zo1 ng5 sap6 go3 zung1 hou2 naai6
瞓咗六十個鐘,fin6 zo1 lok6 sap6 go3 zung1,slept sixty hours,slept sixty hours,瞓咗六十個鐘好耐,fin6 zo1 lok6 sap6 go3 zung1 hou2 naai6
瞓咗七十個鐘,fin6 zo1 cat1 sap6 go3 zung1,slept seventy hours,slept seventy hours,瞓咗七十個鐘好耐,fin6 zo1 cat1 sap6 go3 zung1 hou2 naai6
瞓咗八十個鐘,fin6 zo1 baat3 sap6 go3 zung1,slept eighty hours,slept eighty hours,瞓咗八十個鐘好耐,fin6 zo1 baat3 sap6 go3 zung1 hou2 naai6
瞓咗九十個鐘,fin6 zo1 gau3 sap6 go3 zung1,slept ninety hours,slept ninety hours,瞓咗九十個鐘好耐,fin6 zo1 gau3 sap6 go3 zung1 hou2 naai6
瞓咗一百個鐘,fin6 zo1 jat1 baak3 go3 zung1,slept one hundred hours,slept one hundred hours,瞓咗一百個鐘好耐,fin6 zo1 jat1 baak3 go3 zung1 hou2 naai6
